term;estimate;lower_CI;upper_CI;set;estmulti;f;f_cat;type;p
mass;-0.029;-0.069;0.009;parental provisioning;-0.031;0.015;_0;parental provisioning;NA
development mode (precocial vs altricial);0.12;-0.027;0.239;parental provisioning;0.109;0.035;_0;parental provisioning;NA
clutch size;-0.068;-0.097;-0.037;parental provisioning;-0.066;1;_1;parental provisioning;NA
residual egg mass;0.095;0.041;0.145;parental provisioning;0.097;1;_1;parental provisioning;NA
time fed;0.09;0.038;0.143;parental provisioning;0.093;1;_1;parental provisioning;NA
number of caretakers;0.003;-0.007;0.012;parental provisioning;0.004;0;_0;parental provisioning;NA
mass x development mode;0.184;0.135;0.238;parental provisioning;0.185;1;_1;parental provisioning;NA
mass x clutch size;0.023;0.006;0.037;parental provisioning;0.023;1;_1;parental provisioning;NA
mass x residual egg mass;0.07;0.037;0.106;parental provisioning;0.066;1;_1;parental provisioning;NA
development mode x clutch size;0.094;0.059;0.135;parental provisioning;0.092;1;_1;parental provisioning;NA
development mode x residual egg mass;0.192;0.104;0.272;parental provisioning;0.191;1;_1;parental provisioning;NA
development mode x time fed;0.072;-0.012;0.146;parental provisioning;0.067;0;_0;parental provisioning;NA
residual egg mass x clutch size;0.086;0.064;0.107;parental provisioning;0.085;1;_1;parental provisioning;NA
mass;0.0451894;0.0161271;0.069554;ecosocial;0.045991817;1;_1;parental provisioning;NA
foraging substrate (others vs arboreal);0.1234443;0.0746037;0.1666012;ecosocial;0.119593813;1;_1;ecological;NA
migratory behaviour (sedentary vs migratory);0.0508768;0.0253128;0.0771397;ecosocial;0.048433354;1;_1;ecological;NA
energy content of food (PC);0.0010143;-0.0131441;0.0141133;ecosocial;-0.000528226;0;_0;ecological;NA
food handling level (PC);0.0009474;-0.0205356;0.0195205;ecosocial;0.001244441;0;_0;ecological;NA
insularity (continental vs insular);0.0050818;-0.0450996;0.0568222;ecosocial;0.004732175;0;_0;ecological;NA
mean diurnal temperature range (PC);-0.0129524;-0.027062;0.0010778;ecosocial;-0.012864937;0.34;_0.5;ecological;NA
annual temperature and rainfall (PC);0.0052138;-0.004441;0.0152792;ecosocial;0.005690429;0;_0;ecological;NA
within-year variation in temperature (PC);0.0009424;-0.0079227;0.0111794;ecosocial;0.001555968;0;_0;ecological;
short vs seasonal social bonds;0.0369388;-0.0217246;0.0933557;ecosocial;0.036911121;0;_0;social;NA
short vs long-term social bonds;0.0800233;0.0188216;0.1331129;ecosocial;0.080163057;1;_1;social;NA
colonial vs solitary breeding;0.0038749;-0.0216066;0.0309979;ecosocial;0.002883522;0;_0;social;NA
asocial vs pair living;-0.0188252;-0.0607304;0.0215506;ecosocial;-0.018241189;0;_0;social;NA
asocial vs small groups;-0.0002866;-0.0337958;0.0340365;ecosocial;-0.00164624;0;_0;social;NA
asocial vs large groups;-0.0281825;-0.0625141;0.0097929;ecosocial;-0.027479371;0;_0;social;NA
mass x foraging substrate;0.1066133;0.0613482;0.1495494;ecosocial;0.104904582;1;_1;mixed;NA
mass x sedentariness;-0.0303078;-0.050185;-0.0125739;ecosocial;-0.029545032;1;_1;mixed;NA
mass x energy content of food (PC);0.0193326;0.0065666;0.0329584;ecosocial;0.018957362;1;_1;mixed;NA
mass;-0.0011947;-0.0390058;0.0423592;combined;-0.009193618;0.00E+00;_0;parental provisioning;NA
development mode (precocial vs altricial);0.1885359;0.0547173;0.3118149;combined;0.168377918;9.90E-01;_1;parental provisioning;NA
clutch size;-0.0691016;-0.1015051;-0.0398297;combined;-0.065909292;1.00E+00;_1;parental provisioning;NA
